Study_ID,Country,Crop_Type,IoT_Devices,Sensor_Type,Irrigation_Mode,Water_Saved_%,Yield_Change_%,Cost_Reduction_%,ML_Model_Used,Model_Accuracy_%,Evaluation_Period_Days,Data_Quality_Flag,Notes
1,USA,Rice,Soil sensors + Drones,Humidity,Flood,24,8,12,Linear Regression,63,309,High,
2,India,Cotton,Weather station,Soil Moisture,Flood,24,11,12,KNN,80,244,High,
3,South Africa,Rice,Soil sensors + Drones,Air Temp,Sprinkler + Auto,25,12,7,Random Forest,78,202,High,
4,India,Potato,Soil sensors + Weather station,Soil Moisture,Drip + Sensor-driven,26,-5,8,LightGBM,89,223,High,
5,USA,Potato,Soil sensors + Weather station,Soil Temperature,Drip,26,11,8,Ensemble,77,70,Medium,Solar powered
6,India,Soybean,Solar-powered sensors,Air Temp,Manual,15,5,6,KNN,77,361,High,High rainfall during eval period
7,Ghana,Maize,Vision camera (edge),NDVI,Flood,19,10,8,Ensemble,78,58,High,
8,India,Tomato,Soil sensors,EC (salinity),Flood,27,11,10,XGBoost,78,359,High,
9,India,Date Palm,Soil sensors + Weather station,Multispectral Camera,Sprinkler + Auto,28,3,6,LightGBM,80,100,High,
10,India,Wheat,Soil sensors,Air Temp,Sprinkler + Auto,30,1,12,XGBoost,90,335,Low,
11,Spain,Rice,Soil sensors + Drones,Soil Temperature,Cloud-auto (scheduled),20,10,12,XGBoost,84,180,High,
12,Australia,Millet,Weather station,Air Temp,Sprinkler,33,3,10,Random Forest,71,357,High,
13,Bangladesh,Maize,Soil sensors + Weather station,Soil Moisture,Manual,25,15,8,Linear Regression,63,215,Medium,Cloud outage recorded
14,India,Cotton,Solar-powered sensors,Soil Temperature,Sprinkler,29,12,14,Ensemble,88,302,Medium,
15,China,Date Palm,Soil sensors,Multispectral Camera,Flood,18,7,10,Ensemble,71,132,Medium,
16,Egypt,Potato,Vision camera (edge),Solar Radiation,Sprinkler,35,8,12,Linear Regression,69,40,High,
17,India,Wheat,Soil sensors + Drones,Soil Moisture,Flood,26,17,14,Linear Regression,64,199,High,
18,Egypt,Cotton,Soil sensors + Weather station,Solar Radiation,Flood,22,15,9,Ensemble,88,127,High,High sensor drift
19,Bangladesh,Mango,Solar-powered sensors,Soil Moisture,Sprinkler,28,18,11,Ensemble,79,85,High,
20,Bangladesh,Grapes,Weather station,Solar Radiation,Flood,22,0,9,Linear Regression,80,311,High,High rainfall during eval period
21,Portugal,Wheat,NodeMCU + LoRa,Humidity,Micro-irrigation,30,11,11,CNN,79,235,Low,
22,India,Grapes,Weather station,Solar Radiation,Cloud-auto (scheduled),32,8,8,LightGBM,79,314,Medium,
23,India,Cotton,Cloud-connected sensors,Soil Moisture,Manual,33,11,17,RCNN,92,287,Low,
24,India,Date Palm,Soil sensors,Air Temp,Sprinkler,29,7,7,KNN,77,150,High,Edge device tested
25,India,Sugarcane,Soil sensors,Soil Temperature,Sprinkler + Auto,26,0,14,RCNN,68,191,Low,
26,Ghana,Cotton,Weather station,Air Temp,Cloud-auto (scheduled),30,7,10,LightGBM,80,67,High,Edge device tested
27,Spain,Wheat,Soil sensors + Weather station,NDVI,Micro-irrigation,30,11,12,LightGBM,75,155,High,
28,Portugal,Millet,Drones (NDVI),Soil Moisture,Cloud-auto (scheduled),36,9,12,Linear Regression,59,98,High,High rainfall during eval period
29,India,Tomato,Soil sensors + Weather station,EC (salinity),Flood,22,24,5,Ensemble,85,288,High,
30,India,Grapes,Solar-powered sensors,Soil Moisture,Drip,30,6,12,Random Forest,79,164,High,
31,Egypt,Date Palm,Soil sensors,Soil Temperature,Micro-irrigation,37,14,11,Ensemble,76,328,High,
32,India,Potato,NodeMCU + LoRa,Soil Moisture,Manual,36,17,15,Random Forest,92,82,High,
33,Brazil,Sugarcane,Soil sensors + Drones,Humidity,Micro-irrigation,26,6,6,Ensemble,94,241,High,High sensor drift
34,South Africa,Grapes,Edge device + Vision,Humidity,Cloud-auto (scheduled),33,9,10,KNN,69,225,Medium,Long-term monitoring
35,India,Mango,Drones (NDVI),Humidity,Flood,17,12,8,Random Forest,86,198,High,
36,South Africa,Potato,Soil sensors + Drones,Multispectral Camera,Manual,27,7,7,Linear Regression,65,163,High,Cloud outage recorded
37,India,Sugarcane,Vision camera (edge),EC (salinity),Sprinkler + Auto,33,2,17,CNN,92,227,Medium,
38,India,Grapes,Soil sensors,Humidity,Manual,43,7,24,LightGBM,81,199,Medium,Pilot plot
